branch,date,supplier,lunar,barcode,quantity,price
1,28/03/2022,111523,250,5052149545688,1,£44.99
1,28/03/2022,113715,250,5052149511287,1,£44.99
1,28/03/2022,120417,250,5052149491893,1,£25.00
1,28/03/2022,141708,250,5052149544902,1,£32.99
1,28/03/2022,142856,250,5052149548689,1,£32.99
1,28/03/2022,152903,250,5052149548153,1,£32.99
1,28/03/2022,153844,250,5052149464781,1,£34.99
1,29/03/2022,113650,250,5052149545992,1,£44.99
1,29/03/2022,131130,250,5052149378187,1,£32.99
1,30/03/2022,105704,250,5052149548214,1,£32.99
1,30/03/2022,142549,250,5052149461681,1,£29.99
1,31/03/2022,104105,250,5052149461032,-1,-£29.99
1,31/03/2022,130737,250,5052149488817,1,£25.00
1,31/03/2022,124958,250,5052149544896,1,£32.99
1,01/04/2022,102604,250,5052149511287,1,£44.99
1,01/04/2022,111415,250,5052149527035,1,£34.99
1,01/04/2022,141256,250,5052149465078,1,£39.99
1,01/04/2022,145908,250,5052149548672,-1,-£32.99
1,01/04/2022,150115,250,5052149536716,1,£29.99
1,01/04/2022,150248,250,5052149510617,1,£20.00
1,02/04/2022,95128,250,5052149488794,1,£25.00
1,02/04/2022,114758,250,5052149545275,1,£44.99
1,02/04/2022,132902,250,5052149368546,1,£29.99
1,02/04/2022,134721,250,5052149546098,1,£47.99
1,02/04/2022,135014,250,5052149465191,1,£44.99
1,02/04/2022,160605,250,5052149544919,1,£32.99
1,04/04/2022,132010,250,5052149545268,1,£44.99
1,05/04/2022,120458,250,5052149545688,1,£44.99
1,05/04/2022,135524,250,5052149544902,-1,-£32.99
1,05/04/2022,161902,250,5052149491886,1,£25.00
1,06/04/2022,101355,250,5052149465085,-1,-£44.99
1,06/04/2022,144547,250,5052149545145,1,£44.99
1,06/04/2022,152309,250,5052149493880,1,£25.00
1,06/04/2022,152309,250,5052149488831,1,£25.00
1,08/04/2022,125158,250,5052149484901,1,£29.99
1,09/04/2022,123521,250,5052149548689,1,£32.99
1,09/04/2022,125126,250,5052149417572,1,£44.99
1,09/04/2022,143421,250,5052149498045,1,£25.00
1,09/04/2022,151010,250,5052149545978,1,£44.99
1,12/04/2022,112539,250,5052149417589,1,£44.99
1,12/04/2022,125319,250,5052149548139,1,£32.99
1,12/04/2022,145614,250,5052149545985,1,£44.99
1,14/04/2022,102332,250,5052149511409,1,£44.99
1,14/04/2022,113956,250,5052149378170,1,£32.99
1,14/04/2022,161528,250,5052149465252,1,£44.99
1,14/04/2022,161528,250,5052149545312,1,£44.99
1,14/04/2022,161714,250,5052149465153,1,£44.99
1,15/04/2022,132123,250,5052149465276,1,£44.99
1,15/04/2022,154158,250,5052149546357,-1,-£47.99
1,15/04/2022,161311,250,5052149504395,1,£15.99
1,16/04/2022,114353,250,5052149425515,1,£29.99
1,16/04/2022,120127,250,5052149511270,1,£44.99
1,16/04/2022,135027,250,5052149545077,1,£44.99
1,16/04/2022,164817,250,5052149548191,1,£32.99
1,16/04/2022,165839,250,5052149368492,1,£24.99
1,19/04/2022,135445,250,5052149425997,1,£29.99
1,19/04/2022,161221,250,5052149484918,1,£29.99
1,20/04/2022,100606,250,5052149545961,1,£44.99
1,20/04/2022,124415,250,5052149376039,1,£29.99
1,20/04/2022,132246,250,5052149545749,1,£35.99
1,20/04/2022,141456,250,5052149491275,1,£25.00
1,21/04/2022,131257,250,5052149545978,1,£44.99
1,21/04/2022,165812,250,5052149548191,1,£32.99
1,22/04/2022,144911,250,5052149465443,1,£44.99
1,22/04/2022,155242,250,5052149545671,1,£44.99
1,23/04/2022,102939,250,5052149465092,1,£44.99
1,23/04/2022,150814,250,5052149546005,1,£44.99
1,23/04/2022,160811,250,5052149391018,1,£29.99
1,25/04/2022,160010,250,5052149491626,1,£25.00
1,25/04/2022,165343,250,5052149489869,1,£25.00
1,25/04/2022,170537,250,5052149546029,1,£47.99
1,26/04/2022,153056,250,5052149546029,-1,-£47.99
1,27/04/2022,104144,250,5052149425980,1,£29.99
1,27/04/2022,111156,250,5052149546203,1,£47.99
1,27/04/2022,130249,250,5052149417596,1,£44.99
1,27/04/2022,133736,250,5052149487841,1,£20.00
1,28/04/2022,123542,250,5052149498182,1,£25.00
1,28/04/2022,124803,250,5052149489401,1,£25.00
1,28/04/2022,155728,250,5052149465252,1,£44.99
1,30/04/2022,111134,250,5052149544902,1,£32.99
1,30/04/2022,120756,250,5052149413840,1,£29.99
1,30/04/2022,121926,250,5052149545671,1,£44.99
1,30/04/2022,122733,250,5052149378200,1,£32.99
1,30/04/2022,133513,250,5052149545756,1,£44.99
1,03/05/2022,105232,250,5052149417640,1,£44.99
1,03/05/2022,123349,250,5052149498038,1,£25.00
1,03/05/2022,135326,250,5052149547965,1,£46.99
1,04/05/2022,134236,250,5052149489180,1,£20.00
1,04/05/2022,143134,250,5052149498090,1,£25.00
1,04/05/2022,154342,250,5052149511300,1,£44.99
