"ItemCode","AlternateItemCode","StyleCode","ProductType","Description","SubDescription","Measure","TillDescription","SuspendDate","DepartmentCode","SectionCode","SubSectionCode","ModelCode","SupplierCode","SupplierReference","LeadTime","DirectDelivery","PrimaryBarcode","VATCode","SellingPrice","RRP","SalesDiscountAllowed","PackSize","PackCostCurrency","LastUnitCost","DefaultSalePrice","CarriageCost","NormalPrice","OriginalSellingPrice","LinkedItemGroup1","LinkedItemGroup2","CatalogStyle","Itemised","CaptureSerialNumber","RollWidth","DoNotAllocate","DateSensitive","DeliveryVanUnits","PurchaserAddressRequired","CommissionCode","CubicCapacity","NumberOfSeats","Commodity","Archive","AttributeGroup 1","AttributeCode 1","RangeCode1","RangeDetail1","RangeCode2","RangeDetail2","RangeCode3","RangeDetail3","Specification 1","Specification 2","Specification 3","Specification 4","Specification 5","Specification 6","Specification 7","Specification 8","Specification 9","Specification 10"
1000470001,"1000470001","100047","UNIT","0-328 3ZIP SHORT COIN PURSE","Turquoise/O/S","QUANTITY","0-328 3Zip Short Coin Purse Turquoise/O/S",,"1","9","192",,"80890","1245837",30,"N","5060453318843",1,8.99,,"Y",1.00,3.6000,3.6000,8.99,0.00,8.99,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Turquoise","SIZE ","O/S",,,,,,,,,,,,
1000470002,"1000470002","100047","UNIT","0-328 3ZIP SHORT COIN PURSE","Cerise/O/S","QUANTITY","0-328 3Zip Short Coin Purse Cerise/O/S",,"1","9","192",,"80890","1245844",30,"N","1245844",1,8.99,,"Y",1.00,3.6000,3.6000,8.99,0.00,8.99,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Cerise","SIZE ","O/S",,,,,,,,,,,,
1000470003,"1000470003","100047","UNIT","0-328 3ZIP SHORT COIN PURSE","Purple/O/S","QUANTITY","0-328 3Zip Short Coin Purse Purple/O/S",,"1","9","192",,"80890","1245806",30,"N","1245806",1,8.99,,"Y",1.00,3.6000,3.6000,8.99,0.00,8.99,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Purple","SIZE ","O/S",,,,,,,,,,,,
1000470004,"1000470004","100047","UNIT","0-328 3ZIP SHORT COIN PURSE","RED/O/S","QUANTITY","0-328 RED\O/S",,"1","9","192",,"80890","1245851",30,"N","1245851",1,8.99,,"Y",1.00,3.6000,3.6000,8.99,0.00,8.99,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","RED","SIZE ","O/S",,,,,,,,,,,,
1000470005,"1000470005","100047","UNIT","0-328 3ZIP SHORT COIN PURSE","Coral/O/S","QUANTITY","0-328 CORAL\O/S",,"1","9","192",,"80890","1539776",30,"N","1539776",1,8.99,,"Y",1.00,3.6000,3.6000,8.99,0.00,8.99,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Coral","SIZE ","O/S",,,,,,,,,,,,
1000490001,"1000490001","100049","UNIT","KAYLA 620571 SP R/FIT TROUSER","Grey/12","QUANTITY","Kayla 620571 Sp R/Fit Trouser Grey/12",,"5","84","72",,"80892","2026206",30,"N","4057713846230",1,99.00,,"Y",1.00,29.0000,29.0000,99.00,0.00,99.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Grey","SIZE ","12",,,,,,,,,,,,
1000530001,"1000530001","100053","UNIT","AW21 SP WINTER BAGS DROP 4","Asstd/O/S","QUANTITY","AW21 Sp Winter Bags Drop 4 ASStd/O/S",,"1","2","999",,"80922","2252216",30,"N","5054842072973",1,15.00,,"Y",1.00,6.8600,6.8600,15.00,0.00,34.99,34.99,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Asstd","SIZE ","O/S",,,,,,,,,,,,
1000830001,"1000830001","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Grey/S","QUANTITY","98972 Pillowstep Popcorn Balle Grey/S",,"1","4","141",,"80955","1563511",30,"N","5017414105035",1,14.40,,"Y",1.00,7.5000,7.5000,14.40,0.00,18.00,18.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Grey","SIZE ","S",,,,,,,,,,,,
1000830002,"1000830002","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Grey/M","QUANTITY","98972 Pillowstep Popcorn Balle Grey/M",,"1","4","141",,"80955","1563528",30,"N","5017414105042",1,14.40,,"Y",1.00,7.5000,7.5000,14.40,0.00,18.00,18.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Grey","SIZE ","M",,,,,,,,,,,,
1000830004,"1000830004","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Grey/XL","QUANTITY","98972 Pillowstep Popcorn Balle Grey/XL",,"1","4","141",,"80955","1563542",30,"N","5017414105066",1,14.40,,"Y",1.00,7.5000,7.5000,14.40,0.00,18.00,18.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Grey","SIZE ","XL",,,,,,,,,,,,
